TILENAME,PATH,RA_CENT,DEC_CENT 
DES1524+0335,DEC_Taiga/multiepoch/delve/r6117/DES1524+0335/p03/coadd,231.157988,3.586074
DES1331-3957,DEC_Taiga/multiepoch/delve/r6050/DES1331-3957/p01/coadd,202.798174,-39.961148
DES1442-4249,DEC_Taiga/multiepoch/delve/r6050/DES1442-4249/p01/coadd,220.591425,-42.816704
DES1112-3749,DEC_Taiga/multiepoch/delve/r6050/DES1112-3749/p02/coadd,168.040943,-37.819481
DES1228-4123,DEC_Taiga/multiepoch/delve/r6050/DES1228-4123/p01/coadd,187.142847,-41.388926
DES1326-3832,DEC_Taiga/multiepoch/delve/r6050/DES1326-3832/p01/coadd,201.56099,-38.53337
DES0952-2832,DEC_Taiga/multiepoch/delve/r6050/DES0952-2832/p01/coadd,148.224554,-28.538926
DES1035-2832,DEC_Taiga/multiepoch/delve/r6050/DES1035-2832/p01/coadd,158.78873,-28.538926
DES1433-3206,DEC_Taiga/multiepoch/delve/r6050/DES1433-3206/p01/coadd,218.407907,-32.10837
DES1257-3706,DEC_Taiga/multiepoch/delve/r6050/DES1257-3706/p01/coadd,194.280584,-37.105593
DES1245-3040,DEC_Taiga/multiepoch/delve/r6050/DES1245-3040/p01/coadd,191.416269,-30.680593
DES1631-2206,DEC_Taiga/multiepoch/delve/r6117/DES1631-2206/p01/coadd,247.888153,-22.113926
DES1418-3457,DEC_Taiga/multiepoch/delve/r6050/DES1418-3457/p01/coadd,214.662971,-34.963926
DES1209-4040,DEC_Taiga/multiepoch/delve/r6050/DES1209-4040/p01/coadd,182.325232,-40.675037
DES1411-3914,DEC_Taiga/multiepoch/delve/r6050/DES1411-3914/p01/coadd,212.752072,-39.247259
DES1044-3206,DEC_Taiga/multiepoch/delve/r6050/DES1044-3206/p01/coadd,161.097533,-32.10837
DES1119-3249,DEC_Taiga/multiepoch/delve/r6050/DES1119-3249/p02/coadd,169.852219,-32.822259
DES1047-3957,DEC_Taiga/multiepoch/delve/r6050/DES1047-3957/p03/coadd,161.817211,-39.961148
DES1052-4414,DEC_Taiga/multiepoch/delve/r6050/DES1052-4414/p02/coadd,163.137791,-44.244481
DES1418-4123,DEC_Taiga/multiepoch/delve/r6050/DES1418-4123/p01/coadd,214.737746,-41.388926
DES1515-4414,DEC_Taiga/multiepoch/delve/r6050/DES1515-4414/p01/coadd,228.90924,-44.244481
DES1451-3706,DEC_Taiga/multiepoch/delve/r6050/DES1451-3706/p02/coadd,222.924742,-37.105593
DES0927-2706,DEC_Taiga/multiepoch/delve/r6050/DES0927-2706/p01/coadd,141.968929,-27.111148
DES1056-3623,DEC_Taiga/multiepoch/delve/r6050/DES1056-3623/p02/coadd,164.202203,-36.391704
DES1410-3123,DEC_Taiga/multiepoch/delve/r6050/DES1410-3123/p01/coadd,212.732065,-31.394481
DES1329-2458,DEC_Taiga/multiepoch/delve/r6050/DES1329-2458/p01/coadd,202.435173,-24.969481
DES1529-2958,DEC_Taiga/multiepoch/delve/r6050/DES1529-2958/p01/coadd,232.259767,-29.966704
DES0907-2749,DEC_Taiga/multiepoch/delve/r6050/DES0907-2749/p01/coadd,136.986092,-27.825037
DES1012-3040,DEC_Taiga/multiepoch/delve/r6050/DES1012-3040/p01/coadd,153.232646,-30.680593
DES1453-2915,DEC_Taiga/multiepoch/delve/r6050/DES1453-2915/p01/coadd,223.475286,-29.252815
DES1310-3332,DEC_Taiga/multiepoch/delve/r6050/DES1310-3332/p01/coadd,197.6307,-33.536148
DES1451-3123,DEC_Taiga/multiepoch/delve/r6050/DES1451-3123/p01/coadd,222.767976,-31.394481
DES1431-4914,DEC_Taiga/multiepoch/delve/r6050/DES1431-4914/p01/coadd,217.889213,-49.241704
DES0916-3123,DEC_Taiga/multiepoch/delve/r6050/DES0916-3123/p02/coadd,139.135385,-31.394481
DES1142-3040,DEC_Taiga/multiepoch/delve/r6050/DES1142-3040/p01/coadd,175.644773,-30.680593
DES1030-2458,DEC_Taiga/multiepoch/delve/r6050/DES1030-2458/p02/coadd,157.548043,-24.969481
DES1056-4414,DEC_Taiga/multiepoch/delve/r6050/DES1056-4414/p01/coadd,164.134328,-44.244481
DES1457-3540,DEC_Taiga/multiepoch/delve/r6050/DES1457-3540/p01/coadd,224.351097,-35.677815
DES1145-3457,DEC_Taiga/multiepoch/delve/r6050/DES1145-3457/p01/coadd,176.333992,-34.963926
DES1100-3457,DEC_Taiga/multiepoch/delve/r6050/DES1100-3457/p01/coadd,165.009521,-34.963926
DES1527-3123,DEC_Taiga/multiepoch/delve/r6050/DES1527-3123/p01/coadd,231.967561,-31.394481
DES1505-4249,DEC_Taiga/multiepoch/delve/r6050/DES1505-4249/p01/coadd,226.430751,-42.816704
DES1337-3123,DEC_Taiga/multiepoch/delve/r6117/DES1337-3123/p01/coadd,204.368806,-31.394481
DES0956-2915,DEC_Taiga/multiepoch/delve/r6050/DES0956-2915/p02/coadd,149.015745,-29.252815
DES1255-4706,DEC_Taiga/multiepoch/delve/r6050/DES1255-4706/p01/coadd,193.960863,-47.100037
DES1355-5040,DEC_Taiga/multiepoch/delve/r6050/DES1355-5040/p01/coadd,208.983839,-50.669481
DES1028-2832,DEC_Taiga/multiepoch/delve/r6050/DES1028-2832/p01/coadd,157.163472,-28.538926
DES1226-4706,DEC_Taiga/multiepoch/delve/r6050/DES1226-4706/p01/coadd,186.619789,-47.100037
DES1714-0541,DEC_Taiga/multiepoch/delve/r6117/DES1714-0541/p01/coadd,258.648653,-5.694481
DES1527-3332,DEC_Taiga/multiepoch/delve/r6050/DES1527-3332/p01/coadd,231.888961,-33.536148
DES1315-3832,DEC_Taiga/multiepoch/delve/r6050/DES1315-3832/p01/coadd,198.823146,-38.53337
DES1019-3540,DEC_Taiga/multiepoch/delve/r6050/DES1019-3540/p01/coadd,154.922878,-35.677815
DES1352-3040,DEC_Taiga/multiepoch/delve/r6050/DES1352-3040/p02/coadd,208.017845,-30.680593
DES1124-4040,DEC_Taiga/multiepoch/delve/r6050/DES1124-4040/p02/coadd,171.029802,-40.675037
DES1350-4040,DEC_Taiga/multiepoch/delve/r6050/DES1350-4040/p01/coadd,207.739951,-40.675037
DES1228-4040,DEC_Taiga/multiepoch/delve/r6050/DES1228-4040/p01/coadd,187.031662,-40.675037
DES1421-4540,DEC_Taiga/multiepoch/delve/r6050/DES1421-4540/p01/coadd,215.364524,-45.672259
DES1557-3540,DEC_Taiga/multiepoch/delve/r6050/DES1557-3540/p01/coadd,239.291347,-35.677815
DES1627-1958,DEC_Taiga/multiepoch/delve/r6117/DES1627-1958/p01/coadd,246.932454,-19.972259
DES1300-2958,DEC_Taiga/multiepoch/delve/r6050/DES1300-2958/p01/coadd,195.177462,-29.966704
DES1320-2958,DEC_Taiga/multiepoch/delve/r6050/DES1320-2958/p01/coadd,200.121769,-29.966704
DES1538-2749,DEC_Taiga/multiepoch/delve/r6050/DES1538-2749/p01/coadd,234.659954,-27.825037
DES1412-3957,DEC_Taiga/multiepoch/delve/r6050/DES1412-3957/p01/coadd,213.043415,-39.961148
DES1154-3832,DEC_Taiga/multiepoch/delve/r6050/DES1154-3832/p01/coadd,178.745628,-38.53337
DES1157-3623,DEC_Taiga/multiepoch/delve/r6050/DES1157-3623/p01/coadd,179.27849,-36.391704
DES1017-3749,DEC_Taiga/multiepoch/delve/r6050/DES1017-3749/p03/coadd,154.485181,-37.819481
DES1506-2623,DEC_Taiga/multiepoch/delve/r6050/DES1506-2623/p01/coadd,226.62243,-26.397259
DES1621-2958,DEC_Taiga/multiepoch/delve/r6050/DES1621-2958/p02/coadd,245.444587,-29.966704
DES0900-2958,DEC_Taiga/multiepoch/delve/r6050/DES0900-2958/p01/coadd,135.021722,-29.966704
DES1413-0333,DEC_Taiga/multiepoch/delve/r6117/DES1413-0333/p01/coadd,213.264927,-3.552815
DES1313-3332,DEC_Taiga/multiepoch/delve/r6050/DES1313-3332/p01/coadd,198.487156,-33.536148
DES1131-4123,DEC_Taiga/multiepoch/delve/r6050/DES1131-4123/p01/coadd,172.869623,-41.388926
DES1139-4623,DEC_Taiga/multiepoch/delve/r6050/DES1139-4623/p01/coadd,174.767221,-46.386148
DES1224-4040,DEC_Taiga/multiepoch/delve/r6050/DES1224-4040/p01/coadd,186.090376,-40.675037
DES1319-0416,DEC_Taiga/multiepoch/delve/r6117/DES1319-0416/p01/coadd,199.917439,-4.266704
DES1405-3040,DEC_Taiga/multiepoch/delve/r6117/DES1405-3040/p01/coadd,211.33816,-30.680593
DES1116-3040,DEC_Taiga/multiepoch/delve/r6050/DES1116-3040/p01/coadd,169.004143,-30.680593
DES1301+1252,DEC_Taiga/multiepoch/delve/r6117/DES1301+1252/p01/coadd,195.461616,12.86663
DES1442-2706,DEC_Taiga/multiepoch/delve/r6050/DES1442-2706/p01/coadd,220.565929,-27.111148
DES1226-2541,DEC_Taiga/multiepoch/delve/r6050/DES1226-2541/p01/coadd,186.707807,-25.68337
DES1610+1043,DEC_Taiga/multiepoch/delve/r6117/DES1610+1043/p01/coadd,242.688082,10.724963
DES1000-3623,DEC_Taiga/multiepoch/delve/r6050/DES1000-3623/p01/coadd,150.012756,-36.391704
DES1146-3415,DEC_Taiga/multiepoch/delve/r6050/DES1146-3415/p01/coadd,176.687699,-34.250037
DES1510-2458,DEC_Taiga/multiepoch/delve/r6050/DES1510-2458/p01/coadd,227.634965,-24.969481
DES1547-3206,DEC_Taiga/multiepoch/delve/r6050/DES1547-3206/p01/coadd,236.949499,-32.10837
DES1221-2749,DEC_Taiga/multiepoch/delve/r6050/DES1221-2749/p01/coadd,185.419412,-27.825037
DES1233-3123,DEC_Taiga/multiepoch/delve/r6050/DES1233-3123/p01/coadd,188.478614,-31.394481
DES1350-4706,DEC_Taiga/multiepoch/delve/r6050/DES1350-4706/p01/coadd,207.594286,-47.100037
DES1631-2958,DEC_Taiga/multiepoch/delve/r6050/DES1631-2958/p01/coadd,247.916741,-29.966704
DES1207-2541,DEC_Taiga/multiepoch/delve/r6050/DES1207-2541/p01/coadd,181.954901,-25.68337
DES1217-2541,DEC_Taiga/multiepoch/delve/r6050/DES1217-2541/p01/coadd,184.331354,-25.68337
