TILENAME,PATH,RA_CENT,DEC_CENT
DES1006-3040,DEC_Taiga/multiepoch/delve/r6235/DES1006-3040/p01/coadd,151.572489,-30.680593
DES1009-3040,DEC_Taiga/multiepoch/delve/r6235/DES1009-3040/p01/coadd,152.402568,-30.680593
DES1124-3457,DEC_Taiga/multiepoch/delve/r6235/DES1124-3457/p01/coadd,171.107313,-34.963926
DES1126-3540,DEC_Taiga/multiepoch/delve/r6235/DES1126-3540/p01/coadd,171.620804,-35.677815
DES1224-4414,DEC_Taiga/multiepoch/delve/r6235/DES1224-4414/p02/coadd,186.058144,-44.244481
DES1311+1626,DEC_Taiga/multiepoch/delve/r6235/DES1311+1626/p02/coadd,197.835657,16.436074
DES1312+1709,DEC_Taiga/multiepoch/delve/r6235/DES1312+1709/p01/coadd,198.154073,17.149963
DES1313+1543,DEC_Taiga/multiepoch/delve/r6235/DES1313+1543/p01/coadd,198.30496,15.722185
DES1314+1626,DEC_Taiga/multiepoch/delve/r6235/DES1314+1626/p01/coadd,198.579961,16.436074
DES1314+1751,DEC_Taiga/multiepoch/delve/r6235/DES1314+1751/p01/coadd,198.519078,17.863852
DES1315+1709,DEC_Taiga/multiepoch/delve/r6235/DES1315+1709/p01/coadd,198.901181,17.149963
DES1316+1543,DEC_Taiga/multiepoch/delve/r6235/DES1316+1543/p01/coadd,199.046595,15.722185
DES1317+1626,DEC_Taiga/multiepoch/delve/r6235/DES1317+1626/p01/coadd,199.324265,16.436074
DES1317+1751,DEC_Taiga/multiepoch/delve/r6235/DES1317+1751/p01/coadd,199.269129,17.863852
DES1318+1709,DEC_Taiga/multiepoch/delve/r6235/DES1318+1709/p01/coadd,199.64829,17.149963
DES1319+1543,DEC_Taiga/multiepoch/delve/r6235/DES1319+1543/p01/coadd,199.788231,15.722185
DES1320+1626,DEC_Taiga/multiepoch/delve/r6235/DES1320+1626/p01/coadd,200.06857,16.436074
DES1321+1709,DEC_Taiga/multiepoch/delve/r6235/DES1321+1709/p01/coadd,200.395398,17.149963
DES1322-3832,DEC_Taiga/multiepoch/delve/r6235/DES1322-3832/p01/coadd,200.648375,-38.53337
DES1323-3914,DEC_Taiga/multiepoch/delve/r6235/DES1323-3914/p01/coadd,200.768244,-39.247259
DES1414-0416,DEC_Taiga/multiepoch/delve/r6235/DES1414-0416/p03/coadd,213.519023,-4.266704
