TILENAME,PATH,RA_CENT,DEC_CENT
DES0802+0500,DEC_Taiga/multiepoch/delve/r6101/DES0802+0500/p01/coadd,120.67314800,5.01385200
DES1055+2917,DEC_Taiga/multiepoch/delve/r6101/DES1055+2917/p01/coadd,163.82512700,29.28607400
DES1032+0917,DEC_Taiga/multiepoch/delve/r6101/DES1032+0917/p01/coadd,158.05964400,9.29718500
DES0811+2917,DEC_Taiga/multiepoch/delve/r6101/DES0811+2917/p01/coadd,122.89994800,29.28607400
DES1046-1749,DEC_Taiga/multiepoch/delve/r6101/DES1046-1749/p01/coadd,161.72039100,-17.83059300
DES1023-1207,DEC_Taiga/multiepoch/delve/r6101/DES1023-1207/p01/coadd,155.95373600,-12.11948100
DES0833+0917,DEC_Taiga/multiepoch/delve/r6101/DES0833+0917/p01/coadd,128.40058500,9.29718500
DES1040+2043,DEC_Taiga/multiepoch/delve/r6101/DES1040+2043/p01/coadd,160.00426100,20.71940700
DES1054-0207,DEC_Taiga/multiepoch/delve/r6101/DES1054-0207/p01/coadd,163.60433300,-2.12503700
DES0933-2124,DEC_Taiga/multiepoch/delve/r6101/DES0933-2124/p01/coadd,143.49212900,-21.40003700
DES1035+2834,DEC_Taiga/multiepoch/delve/r6101/DES1035+2834/p01/coadd,158.86592800,28.57218500
DES0909-1332,DEC_Taiga/multiepoch/delve/r6101/DES0909-1332/p01/coadd,137.49891600,-13.54725900
DES1145+0835,DEC_Taiga/multiepoch/delve/r6101/DES1145+0835/p02/coadd,176.35503300,8.58329600
DES1125-1207,DEC_Taiga/multiepoch/delve/r6101/DES1125-1207/p01/coadd,171.28715300,-12.11948100
DES1017-1832,DEC_Taiga/multiepoch/delve/r6101/DES1017-1832/p01/coadd,154.44958800,-18.54448100
DES0926-0833,DEC_Taiga/multiepoch/delve/r6101/DES0926-0833/p01/coadd,141.68036000,-8.55003700
DES1036+1043,DEC_Taiga/multiepoch/delve/r6101/DES1036+1043/p01/coadd,159.13126300,10.72496300
DES0952-1707,DEC_Taiga/multiepoch/delve/r6101/DES0952-1707/p01/coadd,148.05601700,-17.11670400
DES0851+0209,DEC_Taiga/multiepoch/delve/r6101/DES0851+0209/p01/coadd,132.89072700,2.15829600
DES0948+0752,DEC_Taiga/multiepoch/delve/r6101/DES0948+0752/p01/coadd,147.05763400,7.86940700
DES1027-1915,DEC_Taiga/multiepoch/delve/r6101/DES1027-1915/p01/coadd,156.98574700,-19.25837000
DES0855-1749,DEC_Taiga/multiepoch/delve/r6101/DES0855-1749/p01/coadd,133.97372500,-17.83059300
DES0947-2415,DEC_Taiga/multiepoch/delve/r6101/DES0947-2415/p01/coadd,146.77141500,-24.25559300
DES0911+0209,DEC_Taiga/multiepoch/delve/r6101/DES0911+0209/p01/coadd,137.89149700,2.15829600
DES0705+2251,DEC_Taiga/multiepoch/delve/r6101/DES0705+2251/p01/coadd,106.36222800,22.86107400
DES0940+0917,DEC_Taiga/multiepoch/delve/r6101/DES0940+0917/p01/coadd,145.03859400,9.29718500
DES1139-1332,DEC_Taiga/multiepoch/delve/r6101/DES1139-1332/p01/coadd,174.94922200,-13.54725900
DES0928+0626,DEC_Taiga/multiepoch/delve/r6101/DES0928+0626/p01/coadd,142.02220900,6.44163000
DES0955-0541,DEC_Taiga/multiepoch/delve/r6101/DES0955-0541/p01/coadd,148.88197600,-5.69448100
DES1122+1709,DEC_Taiga/multiepoch/delve/r6101/DES1122+1709/p01/coadd,170.51106700,17.14996300
DES1021-1624,DEC_Taiga/multiepoch/delve/r6101/DES1021-1624/p01/coadd,155.36910100,-16.40281500
DES1017-0458,DEC_Taiga/multiepoch/delve/r6101/DES1017-0458/p01/coadd,154.34263100,-4.98059300
DES1102-1124,DEC_Taiga/multiepoch/delve/r6101/DES1102-1124/p01/coadd,165.52518400,-11.40559300
DES1106-2249,DEC_Taiga/multiepoch/delve/r6101/DES1106-2249/p01/coadd,166.73068900,-22.82781500
DES0759+1043,DEC_Taiga/multiepoch/delve/r6101/DES0759+1043/p01/coadd,119.89588800,10.72496300
DES0754+0500,DEC_Taiga/multiepoch/delve/r6101/DES0754+0500/p01/coadd,118.52325500,5.01385200
