TILENAME,PATH,RA_CENT,DEC_CENT
DES1209+1252,DEC_Taiga/multiepoch/delve/r6050/DES1209+1252/p01/coadd,182.28065400,12.86663000
DES1524+0335,DEC_Taiga/multiepoch/delve/r6117/DES1524+0335/p03/coadd,231.15798800,3.58607400
DES1242+0043,DEC_Taiga/multiepoch/delve/r6050/DES1242+0043/p01/coadd,190.58355000,0.73051900
DES1331-3957,DEC_Taiga/multiepoch/delve/r6050/DES1331-3957/p01/coadd,202.79817400,-39.96114800
DES1442-4249,DEC_Taiga/multiepoch/delve/r6050/DES1442-4249/p01/coadd,220.59142500,-42.81670400
DES1551+2500,DEC_Taiga/multiepoch/delve/r6050/DES1551+2500/p01/coadd,237.95992900,25.00274100
DES1112-3749,DEC_Taiga/multiepoch/delve/r6050/DES1112-3749/p02/coadd,168.04094300,-37.81948100
DES1211-0207,DEC_Taiga/multiepoch/delve/r6050/DES1211-0207/p01/coadd,182.89259700,-2.12503700
DES1602-0750,DEC_Taiga/multiepoch/delve/r6050/DES1602-0750/p01/coadd,240.71934700,-7.83614800
DES1228-4123,DEC_Taiga/multiepoch/delve/r6050/DES1228-4123/p01/coadd,187.14284700,-41.38892600
DES1326-3832,DEC_Taiga/multiepoch/delve/r6050/DES1326-3832/p01/coadd,201.56099000,-38.53337000
DES1427-1332,DEC_Taiga/multiepoch/delve/r6050/DES1427-1332/p01/coadd,216.80544600,-13.54725900
DES1642+0001,DEC_Taiga/multiepoch/delve/r6050/DES1642+0001/p01/coadd,250.52782900,0.01663000
DES0952-2832,DEC_Taiga/multiepoch/delve/r6050/DES0952-2832/p01/coadd,148.22455400,-28.53892600
DES1035-2832,DEC_Taiga/multiepoch/delve/r6050/DES1035-2832/p01/coadd,158.78873000,-28.53892600
DES1433-3206,DEC_Taiga/multiepoch/delve/r6050/DES1433-3206/p01/coadd,218.40790700,-32.10837000
DES1402+1126,DEC_Taiga/multiepoch/delve/r6050/DES1402+1126/p01/coadd,210.71272900,11.43885200
DES1257-3706,DEC_Taiga/multiepoch/delve/r6050/DES1257-3706/p01/coadd,194.28058400,-37.10559300
DES1246+0500,DEC_Taiga/multiepoch/delve/r6050/DES1246+0500/p01/coadd,191.61962100,5.01385200
DES1245-3040,DEC_Taiga/multiepoch/delve/r6050/DES1245-3040/p01/coadd,191.41626900,-30.68059300
