TILENAME,PATH,RA_CENT,DEC_CENT
DES1209+1252,DEC_Taiga/multiepoch/delve/r6050/DES1209+1252/p01/coadd,182.280654,12.86663
DES1524+0335,DEC_Taiga/multiepoch/delve/r6117/DES1524+0335/p03/coadd,231.157988,3.586074
DES1242+0043,DEC_Taiga/multiepoch/delve/r6050/DES1242+0043/p01/coadd,190.58355,0.730519
DES1331-3957,DEC_Taiga/multiepoch/delve/r6050/DES1331-3957/p01/coadd,202.798174,-39.961148
DES1442-4249,DEC_Taiga/multiepoch/delve/r6050/DES1442-4249/p01/coadd,220.591425,-42.816704
DES1551+2500,DEC_Taiga/multiepoch/delve/r6050/DES1551+2500/p01/coadd,237.959929,25.002741
DES1112-3749,DEC_Taiga/multiepoch/delve/r6050/DES1112-3749/p02/coadd,168.040943,-37.819481
DES1211-0207,DEC_Taiga/multiepoch/delve/r6050/DES1211-0207/p01/coadd,182.892597,-2.125037
DES1602-0750,DEC_Taiga/multiepoch/delve/r6050/DES1602-0750/p01/coadd,240.719347,-7.836148
DES1228-4123,DEC_Taiga/multiepoch/delve/r6050/DES1228-4123/p01/coadd,187.142847,-41.388926
DES1326-3832,DEC_Taiga/multiepoch/delve/r6050/DES1326-3832/p01/coadd,201.56099,-38.53337
DES1427-1332,DEC_Taiga/multiepoch/delve/r6050/DES1427-1332/p01/coadd,216.805446,-13.547259
DES1642+0001,DEC_Taiga/multiepoch/delve/r6050/DES1642+0001/p01/coadd,250.527829,0.01663
DES0952-2832,DEC_Taiga/multiepoch/delve/r6050/DES0952-2832/p01/coadd,148.224554,-28.538926
DES1035-2832,DEC_Taiga/multiepoch/delve/r6050/DES1035-2832/p01/coadd,158.78873,-28.538926
DES1433-3206,DEC_Taiga/multiepoch/delve/r6050/DES1433-3206/p01/coadd,218.407907,-32.10837
DES1402+1126,DEC_Taiga/multiepoch/delve/r6050/DES1402+1126/p01/coadd,210.712729,11.438852
DES1257-3706,DEC_Taiga/multiepoch/delve/r6050/DES1257-3706/p01/coadd,194.280584,-37.105593
DES1246+0500,DEC_Taiga/multiepoch/delve/r6050/DES1246+0500/p01/coadd,191.619621,5.013852
DES1245-3040,DEC_Taiga/multiepoch/delve/r6050/DES1245-3040/p01/coadd,191.416269,-30.680593
DES1631-2206,DEC_Taiga/multiepoch/delve/r6117/DES1631-2206/p01/coadd,247.888153,-22.113926
DES1418-3457,DEC_Taiga/multiepoch/delve/r6050/DES1418-3457/p01/coadd,214.662971,-34.963926
DES1209-4040,DEC_Taiga/multiepoch/delve/r6050/DES1209-4040/p01/coadd,182.325232,-40.675037
DES1411-3914,DEC_Taiga/multiepoch/delve/r6050/DES1411-3914/p01/coadd,212.752072,-39.247259
DES1653-2249,DEC_Taiga/multiepoch/delve/r6050/DES1653-2249/p02/coadd,253.480944,-22.827815
DES1321+2126,DEC_Taiga/multiepoch/delve/r6050/DES1321+2126/p01/coadd,200.29687,21.433296
DES1547+1126,DEC_Taiga/multiepoch/delve/r6050/DES1547+1126/p01/coadd,236.933559,11.438852
DES1357+0252,DEC_Taiga/multiepoch/delve/r6050/DES1357+0252/p01/coadd,209.49221,2.872185
DES1044-3206,DEC_Taiga/multiepoch/delve/r6050/DES1044-3206/p01/coadd,161.097533,-32.10837
DES1119-3249,DEC_Taiga/multiepoch/delve/r6050/DES1119-3249/p02/coadd,169.852219,-32.822259
DES1047-3957,DEC_Taiga/multiepoch/delve/r6050/DES1047-3957/p03/coadd,161.817211,-39.961148
DES1632+0252,DEC_Taiga/multiepoch/delve/r6050/DES1632+0252/p01/coadd,248.090698,2.872185
DES1524+1126,DEC_Taiga/multiepoch/delve/r6050/DES1524+1126/p01/coadd,231.106708,11.438852
DES1204+0543,DEC_Taiga/multiepoch/delve/r6050/DES1204+0543/p01/coadd,181.18178,5.727741
DES1234+2000,DEC_Taiga/multiepoch/delve/r6050/DES1234+2000/p01/coadd,188.50338,20.005519
DES1506-0958,DEC_Taiga/multiepoch/delve/r6050/DES1506-0958/p01/coadd,226.686508,-9.977815
DES1217-0250,DEC_Taiga/multiepoch/delve/r6050/DES1217-0250/p01/coadd,184.466851,-2.838926
DES1052-4414,DEC_Taiga/multiepoch/delve/r6050/DES1052-4414/p02/coadd,163.137791,-44.244481
DES1418-4123,DEC_Taiga/multiepoch/delve/r6050/DES1418-4123/p01/coadd,214.737746,-41.388926
DES1515-4414,DEC_Taiga/multiepoch/delve/r6050/DES1515-4414/p01/coadd,228.90924,-44.244481
DES1451-3706,DEC_Taiga/multiepoch/delve/r6050/DES1451-3706/p02/coadd,222.924742,-37.105593
DES1418+0500,DEC_Taiga/multiepoch/delve/r6050/DES1418+0500/p01/coadd,214.551815,5.013852
DES1453-0750,DEC_Taiga/multiepoch/delve/r6050/DES1453-0750/p01/coadd,223.424516,-7.836148
DES1352-0250,DEC_Taiga/multiepoch/delve/r6050/DES1352-0250/p01/coadd,208.054132,-2.838926
DES1306-1707,DEC_Taiga/multiepoch/delve/r6050/DES1306-1707/p01/coadd,196.609346,-17.116704
DES1320+1751,DEC_Taiga/multiepoch/delve/r6050/DES1320+1751/p01/coadd,200.019179,17.863852
DES1630-0041,DEC_Taiga/multiepoch/delve/r6050/DES1630-0041/p02/coadd,247.696892,-0.697259
DES1354-0958,DEC_Taiga/multiepoch/delve/r6050/DES1354-0958/p01/coadd,208.565202,-9.977815
DES1331-0707,DEC_Taiga/multiepoch/delve/r6050/DES1331-0707/p01/coadd,202.776094,-7.122259
DES1328-0915,DEC_Taiga/multiepoch/delve/r6050/DES1328-0915/p02/coadd,202.159236,-9.263926
DES0927-2706,DEC_Taiga/multiepoch/delve/r6050/DES0927-2706/p01/coadd,141.968929,-27.111148
DES1556-1124,DEC_Taiga/multiepoch/delve/r6050/DES1556-1124/p01/coadd,239.080533,-11.405593
DES1651+1126,DEC_Taiga/multiepoch/delve/r6050/DES1651+1126/p01/coadd,252.957399,11.438852
DES1336-0416,DEC_Taiga/multiepoch/delve/r6050/DES1336-0416/p01/coadd,204.212676,-4.266704
DES1511+0126,DEC_Taiga/multiepoch/delve/r6050/DES1511+0126/p01/coadd,227.782761,1.444407
DES1207+2126,DEC_Taiga/multiepoch/delve/r6050/DES1207+2126/p01/coadd,181.890623,21.433296
DES1345-0207,DEC_Taiga/multiepoch/delve/r6050/DES1345-0207/p01/coadd,206.467143,-2.125037
DES1240-2206,DEC_Taiga/multiepoch/delve/r6050/DES1240-2206/p01/coadd,190.095077,-22.113926
DES1056-3623,DEC_Taiga/multiepoch/delve/r6050/DES1056-3623/p02/coadd,164.202203,-36.391704
DES1319+1043,DEC_Taiga/multiepoch/delve/r6050/DES1319+1043/p01/coadd,199.819801,10.724963
DES1327+2043,DEC_Taiga/multiepoch/delve/r6050/DES1327+2043/p01/coadd,201.983177,20.719407
DES1410-3123,DEC_Taiga/multiepoch/delve/r6050/DES1410-3123/p01/coadd,212.732065,-31.394481
DES1329-2458,DEC_Taiga/multiepoch/delve/r6050/DES1329-2458/p01/coadd,202.435173,-24.969481
DES1527+1000,DEC_Taiga/multiepoch/delve/r6050/DES1527+1000/p01/coadd,231.792951,10.011074
DES1529-2958,DEC_Taiga/multiepoch/delve/r6050/DES1529-2958/p01/coadd,232.259767,-29.966704
DES0907-2749,DEC_Taiga/multiepoch/delve/r6050/DES0907-2749/p01/coadd,136.986092,-27.825037
DES1226-1332,DEC_Taiga/multiepoch/delve/r6050/DES1226-1332/p01/coadd,186.698337,-13.547259
DES1012-3040,DEC_Taiga/multiepoch/delve/r6050/DES1012-3040/p01/coadd,153.232646,-30.680593
DES1453-2915,DEC_Taiga/multiepoch/delve/r6050/DES1453-2915/p01/coadd,223.475286,-29.252815
DES1414-0915,DEC_Taiga/multiepoch/delve/r6050/DES1414-0915/p01/coadd,213.732403,-9.263926
DES1249+2208,DEC_Taiga/multiepoch/delve/r6050/DES1249+2208/p01/coadd,192.472442,22.147185
DES1502-0416,DEC_Taiga/multiepoch/delve/r6050/DES1502-0416/p01/coadd,225.688862,-4.266704
DES1310-3332,DEC_Taiga/multiepoch/delve/r6050/DES1310-3332/p01/coadd,197.6307,-33.536148
DES1451-3123,DEC_Taiga/multiepoch/delve/r6050/DES1451-3123/p01/coadd,222.767976,-31.394481
DES1431-4914,DEC_Taiga/multiepoch/delve/r6050/DES1431-4914/p01/coadd,217.889213,-49.241704
DES0916-3123,DEC_Taiga/multiepoch/delve/r6050/DES0916-3123/p02/coadd,139.135385,-31.394481
