TILENAME,PATH,RA_CENT,DEC_CENT
DES0753-0416,DEC_Taiga/multiepoch/delve/r5918/DES0753-0416/p01/coadd,118.307932,-4.266704
DES1113-1332,DEC_Taiga/multiepoch/delve/r5918/DES1113-1332/p01/coadd,168.340344,-13.547259
DES1153-0041,DEC_Taiga/multiepoch/delve/r5918/DES1153-0041/p01/coadd,178.444542,-0.697259
DES1013-0958,DEC_Taiga/multiepoch/delve/r5918/DES1013-0958/p01/coadd,153.47643,-9.977815
DES1158+2126,DEC_Taiga/multiepoch/delve/r5918/DES1158+2126/p01/coadd,179.589842,21.433296
DES1000+1417,DEC_Taiga/multiepoch/delve/r5918/DES1000+1417/p01/coadd,150.006469,14.294407
DES1014-0750,DEC_Taiga/multiepoch/delve/r5918/DES1014-0750/p01/coadd,153.524576,-7.836148
DES1128+0626,DEC_Taiga/multiepoch/delve/r5918/DES1128+0626/p01/coadd,172.196042,6.44163
DES1108+0626,DEC_Taiga/multiepoch/delve/r6235/DES1108+0626/p01/coadd,167.16707,6.44163
DES1030-1624,DEC_Taiga/multiepoch/delve/r5918/DES1030-1624/p01/coadd,157.601631,-16.402815
DES0942-0041,DEC_Taiga/multiepoch/delve/r5918/DES0942-0041/p01/coadd,145.603222,-0.697259
DES1136-1332,DEC_Taiga/multiepoch/delve/r5918/DES1136-1332/p01/coadd,174.214902,-13.547259
DES1043-1332,DEC_Taiga/multiepoch/delve/r5918/DES1043-1332/p01/coadd,160.997147,-13.547259
DES1019+2751,DEC_Taiga/multiepoch/delve/r6101/DES1019+2751/p01/coadd,154.818655,27.858296
DES0935+1751,DEC_Taiga/multiepoch/delve/r5918/DES0935+1751/p01/coadd,143.765401,17.863852
DES0812+0543,DEC_Taiga/multiepoch/delve/r5918/DES0812+0543/p01/coadd,123.066629,5.727741
DES0940-0458,DEC_Taiga/multiepoch/delve/r5918/DES0940-0458/p01/coadd,145.026901,-4.980593
DES0836-0041,DEC_Taiga/multiepoch/delve/r5918/DES0836-0041/p01/coadd,129.182562,-0.697259
DES1131-0624,DEC_Taiga/multiepoch/delve/r5918/DES1131-0624/p01/coadd,172.89757,-6.40837
DES1019+1000,DEC_Taiga/multiepoch/delve/r5918/DES1019+1000/p01/coadd,154.950734,10.011074
DES0848-0207,DEC_Taiga/multiepoch/delve/r5918/DES0848-0207/p01/coadd,132.171606,-2.125037
DES0819+0917,DEC_Taiga/multiepoch/delve/r5918/DES0819+0917/p02/coadd,124.783626,9.297185
