TILENAME,PATH
DES0805+1834, DEC_Taiga/multiepoch/delve/r6101/DES0805+1834/p01/coadd
DES1055-0333, DEC_Taiga/multiepoch/delve/r6101/DES1055-0333/p01/coadd
DES0838+1000, DEC_Taiga/multiepoch/delve/r6101/DES0838+1000/p01/coadd
DES0925-2415, DEC_Taiga/multiepoch/delve/r6101/DES0925-2415/p01/coadd
DES1030+1043, DEC_Taiga/multiepoch/delve/r6101/DES1030+1043/p01/coadd
DES1026+0500, DEC_Taiga/multiepoch/delve/r6101/DES1026+0500/p01/coadd
DES0759+1917, DEC_Taiga/multiepoch/delve/r6101/DES0759+1917/p01/coadd
DES1106-2249, DEC_Taiga/multiepoch/delve/r6101/DES1106-2249/p01/coadd
DES0924+1000, DEC_Taiga/multiepoch/delve/r6101/DES0924+1000/p01/coadd
DES1130+0709, DEC_Taiga/multiepoch/delve/r6101/DES1130+0709/p01/coadd
DES1146+0500, DEC_Taiga/multiepoch/delve/r6101/DES1146+0500/p03/coadd
DES0842-1915, DEC_Taiga/multiepoch/delve/r6101/DES0842-1915/p01/coadd
DES0800+2000, DEC_Taiga/multiepoch/delve/r6101/DES0800+2000/p01/coadd
DES0807+2043, DEC_Taiga/multiepoch/delve/r6101/DES0807+2043/p01/coadd
DES1055+2043, DEC_Taiga/multiepoch/delve/r6101/DES1055+2043/p02/coadd
DES0848+0500, DEC_Taiga/multiepoch/delve/r6101/DES0848+0500/p01/coadd
DES0851+0209, DEC_Taiga/multiepoch/delve/r6101/DES0851+0209/p01/coadd
DES0759+1043, DEC_Taiga/multiepoch/delve/r6101/DES0759+1043/p01/coadd
DES0834+0500, DEC_Taiga/multiepoch/delve/r6101/DES0834+0500/p01/coadd
DES0940-0915, DEC_Taiga/multiepoch/delve/r6101/DES0940-0915/p01/coadd
DES1129-0333, DEC_Taiga/multiepoch/delve/r6101/DES1129-0333/p02/coadd
DES0911+2334, DEC_Taiga/multiepoch/delve/r6101/DES0911+2334/p01/coadd
DES1004-2249, DEC_Taiga/multiepoch/delve/r6101/DES1004-2249/p01/coadd
DES0953+0752, DEC_Taiga/multiepoch/delve/r6101/DES0953+0752/p01/coadd
DES0920-1124, DEC_Taiga/multiepoch/delve/r6101/DES0920-1124/p01/coadd
