TILENAME,PATH,RA_CENT,DEC_CENT,SHEARCAT_PATH,TAG 
DES0753-0416,DEC_Taiga/multiepoch/delve/r5918/DES0753-0416/p01/coadd,118.307932,-4.266704,2,DR3_1_1_original
DES1113-1332,DEC_Taiga/multiepoch/delve/r5918/DES1113-1332/p01/coadd,168.340344,-13.547259,2,DR3_1_1_original
DES1153-0041,DEC_Taiga/multiepoch/delve/r5918/DES1153-0041/p01/coadd,178.444542,-0.697259,2,DR3_1_1_original
DES1013-0958,DEC_Taiga/multiepoch/delve/r5918/DES1013-0958/p01/coadd,153.47643,-9.977815,2,DR3_1_1_original
DES1158+2126,DEC_Taiga/multiepoch/delve/r5918/DES1158+2126/p01/coadd,179.589842,21.433296,2,DR3_1_1_original
DES1000+1417,DEC_Taiga/multiepoch/delve/r5918/DES1000+1417/p01/coadd,150.006469,14.294407,2,DR3_1_1_original
DES1014-0750,DEC_Taiga/multiepoch/delve/r5918/DES1014-0750/p01/coadd,153.524576,-7.836148,2,DR3_1_1_original
DES1128+0626,DEC_Taiga/multiepoch/delve/r5918/DES1128+0626/p01/coadd,172.196042,6.44163,2,DR3_1_1_original
DES1108+0626,DEC_Taiga/multiepoch/delve/r6235/DES1108+0626/p01/coadd,167.16707,6.44163,2,DR3_1_1_original
DES1030-1624,DEC_Taiga/multiepoch/delve/r5918/DES1030-1624/p01/coadd,157.601631,-16.402815,2,DR3_1_1_original
DES0942-0041,DEC_Taiga/multiepoch/delve/r5918/DES0942-0041/p01/coadd,145.603222,-0.697259,2,DR3_1_1_original
DES1136-1332,DEC_Taiga/multiepoch/delve/r5918/DES1136-1332/p01/coadd,174.214902,-13.547259,2,DR3_1_1_original
DES1043-1332,DEC_Taiga/multiepoch/delve/r5918/DES1043-1332/p01/coadd,160.997147,-13.547259,2,DR3_1_1_original
DES1019+2751,DEC_Taiga/multiepoch/delve/r6101/DES1019+2751/p01/coadd,154.818655,27.858296,2,DR3_1_1_original
DES0935+1751,DEC_Taiga/multiepoch/delve/r5918/DES0935+1751/p01/coadd,143.765401,17.863852,2,DR3_1_1_original
DES0812+0543,DEC_Taiga/multiepoch/delve/r5918/DES0812+0543/p01/coadd,123.066629,5.727741,2,DR3_1_1_original
DES0940-0458,DEC_Taiga/multiepoch/delve/r5918/DES0940-0458/p01/coadd,145.026901,-4.980593,2,DR3_1_1_original
DES0836-0041,DEC_Taiga/multiepoch/delve/r5918/DES0836-0041/p01/coadd,129.182562,-0.697259,2,DR3_1_1_original
DES1131-0624,DEC_Taiga/multiepoch/delve/r5918/DES1131-0624/p01/coadd,172.89757,-6.40837,2,DR3_1_1_original
DES1019+1000,DEC_Taiga/multiepoch/delve/r5918/DES1019+1000/p01/coadd,154.950734,10.011074,2,DR3_1_1_original
DES0848-0207,DEC_Taiga/multiepoch/delve/r5918/DES0848-0207/p01/coadd,132.171606,-2.125037,2,DR3_1_1_original
DES0819+0917,DEC_Taiga/multiepoch/delve/r5918/DES0819+0917/p02/coadd,124.783626,9.297185,2,DR3_1_1_original
DES1117-0458,DEC_Taiga/multiepoch/delve/r5918/DES1117-0458/p01/coadd,169.391118,-4.980593,2,DR3_1_1_original
DES0833+0043,DEC_Taiga/multiepoch/delve/r5918/DES0833+0043/p01/coadd,128.470167,0.730519,2,DR3_1_1_original
DES1005-0041,DEC_Taiga/multiepoch/delve/r5918/DES1005-0041/p01/coadd,151.314756,-0.697259,2,DR3_1_1_original
DES1049-1749,DEC_Taiga/multiepoch/delve/r5918/DES1049-1749/p01/coadd,162.470301,-17.830593,2,DR3_1_1_original
DES1017+1417,DEC_Taiga/multiepoch/delve/r5918/DES1017+1417/p01/coadd,154.426652,14.294407,2,DR3_1_1_original
DES0955+1709,DEC_Taiga/multiepoch/delve/r5918/DES0955+1709/p01/coadd,148.844927,17.149963,2,DR3_1_1_original
DES0746+1209,DEC_Taiga/multiepoch/delve/r5918/DES0746+1209/p01/coadd,116.550163,12.152741,2,DR3_1_1_original
DES1041-2124,DEC_Taiga/multiepoch/delve/r5918/DES1041-2124/p01/coadd,160.360672,-21.400037,2,DR3_1_1_original
DES0823+2543,DEC_Taiga/multiepoch/delve/r5918/DES0823+2543/p01/coadd,125.771192,25.71663,2,DR3_1_1_original
DES0755+1126,DEC_Taiga/multiepoch/delve/r5918/DES0755+1126/p02/coadd,118.939824,11.438852,2,DR3_1_1_original
DES0831+2625,DEC_Taiga/multiepoch/delve/r6101/DES0831+2625/p01/coadd,127.857393,26.430519,2,DR3_1_1_original
DES1145+1252,DEC_Taiga/multiepoch/delve/r5918/DES1145+1252/p01/coadd,176.422449,12.86663,2,DR3_1_1_original
DES0917+0252,DEC_Taiga/multiepoch/delve/r5918/DES0917+0252/p01/coadd,139.443101,2.872185,2,DR3_1_1_original
