TILENAME,PATH
b'DES1007-0333',b'DEC/multiepoch/delve/r5918/DES1007-0333/p01/coadd'
b'DES0755+1543',b'DEC/multiepoch/delve/r5918/DES0755+1543/p01/coadd'
b'DES1002+0418',b'DEC/multiepoch/delve/r5918/DES1002+0418/p01/coadd'
b'DES1120+1043',b'DEC/multiepoch/delve/r5918/DES1120+1043/p01/coadd'
b'DES1134+2043',b'DEC/multiepoch/delve/r5918/DES1134+2043/p01/coadd'
b'DES0817-0958',b'DEC/multiepoch/delve/r5918/DES0817-0958/p02/coadd'
b'DES1035-1958',b'DEC/multiepoch/delve/r5918/DES1035-1958/p01/coadd'
b'DES1103+1000',b'DEC/multiepoch/delve/r5918/DES1103+1000/p01/coadd'
b'DES1105+1751',b'DEC/multiepoch/delve/r5918/DES1105+1751/p01/coadd'
b'DES1042+2625',b'DEC/multiepoch/delve/r5918/DES1042+2625/p01/coadd'
b'DES1007-0833',b'DEC/multiepoch/delve/r5918/DES1007-0833/p01/coadd'
b'DES1038+0917',b'DEC/multiepoch/delve/r5918/DES1038+0917/p01/coadd'
b'DES0913-1958',b'DEC/multiepoch/delve/r5918/DES0913-1958/p01/coadd'
b'DES0819+1626',b'DEC/multiepoch/delve/r5918/DES0819+1626/p02/coadd'
b'DES0951-1415',b'DEC/multiepoch/delve/r5918/DES0951-1415/p01/coadd'
b'DES1110+2043',b'DEC/multiepoch/delve/r5918/DES1110+2043/p01/coadd'
b'DES1057-0624',b'DEC/multiepoch/delve/r5918/DES1057-0624/p01/coadd'
b'DES1133+0835',b'DEC/multiepoch/delve/r5918/DES1133+0835/p01/coadd'
b'DES0856-2249',b'DEC/multiepoch/delve/r5918/DES0856-2249/p01/coadd'
b'DES0722+2543',b'DEC/multiepoch/delve/r5918/DES0722+2543/p03/coadd'
b'DES0831+0043',b'DEC/multiepoch/delve/r5918/DES0831+0043/p01/coadd'
b'DES0920+0500',b'DEC/multiepoch/delve/r5918/DES0920+0500/p01/coadd'
b'DES1135+0335',b'DEC/multiepoch/delve/r5918/DES1135+0335/p01/coadd'
b'DES1138-1541',b'DEC/multiepoch/delve/r5918/DES1138-1541/p01/coadd'
b'DES0808+0835',b'DEC/multiepoch/delve/r5918/DES0808+0835/p01/coadd'
b'DES1115-0707',b'DEC/multiepoch/delve/r5918/DES1115-0707/p01/coadd'
b'DES0957+2334',b'DEC/multiepoch/delve/r5918/DES0957+2334/p01/coadd'
b'DES0818+0752',b'DEC/multiepoch/delve/r5918/DES0818+0752/p03/coadd'
b'DES0935-2206',b'DEC/multiepoch/delve/r5918/DES0935-2206/p01/coadd'
b'DES0705+1751',b'DEC/multiepoch/delve/r5918/DES0705+1751/p01/coadd'
b'DES0748-0207',b'DEC/multiepoch/delve/r5918/DES0748-0207/p01/coadd'
b'DES0852-1749',b'DEC/multiepoch/delve/r5918/DES0852-1749/p02/coadd'
b'DES0737+0252',b'DEC/multiepoch/delve/r5918/DES0737+0252/p02/coadd'
b'DES1020+1834',b'DEC/multiepoch/delve/r5918/DES1020+1834/p01/coadd'
b'DES0929-0833',b'DEC/multiepoch/delve/r5918/DES0929-0833/p01/coadd'
b'DES0946-2124',b'DEC/multiepoch/delve/r5918/DES0946-2124/p01/coadd'
b'DES0650+2708',b'DEC/multiepoch/delve/r5918/DES0650+2708/p01/coadd'
b'DES0813+2417',b'DEC/multiepoch/delve/r5918/DES0813+2417/p01/coadd'
b'DES0846+2500',b'DEC/multiepoch/delve/r5918/DES0846+2500/p01/coadd'
b'DES0912+0543',b'DEC/multiepoch/delve/r5918/DES0912+0543/p01/coadd'
b'DES0802+0209',b'DEC/multiepoch/delve/r5918/DES0802+0209/p01/coadd'
b'DES1033+1834',b'DEC/multiepoch/delve/r5918/DES1033+1834/p01/coadd'
b'DES1139-0416',b'DEC/multiepoch/delve/r5918/DES1139-0416/p01/coadd'
b'DES1054+1834',b'DEC/multiepoch/delve/r5918/DES1054+1834/p01/coadd'
b'DES1114+0126',b'DEC/multiepoch/delve/r5918/DES1114+0126/p01/coadd'
b'DES0810+1126',b'DEC/multiepoch/delve/r5918/DES0810+1126/p02/coadd'
b'DES0810-0750',b'DEC/multiepoch/delve/r5918/DES0810-0750/p02/coadd'
b'DES0847-0416',b'DEC/multiepoch/delve/r5918/DES0847-0416/p01/coadd'
b'DES0822+0917',b'DEC/multiepoch/delve/r5918/DES0822+0917/p01/coadd'
b'DES0844-1832',b'DEC/multiepoch/delve/r5918/DES0844-1832/p02/coadd'
b'DES1028-0458',b'DEC/multiepoch/delve/r5918/DES1028-0458/p01/coadd'
b'DES0822-1458',b'DEC/multiepoch/delve/r5918/DES0822-1458/p01/coadd'
b'DES1124-0707',b'DEC/multiepoch/delve/r5918/DES1124-0707/p01/coadd'
b'DES1111-0958',b'DEC/multiepoch/delve/r5918/DES1111-0958/p01/coadd'
b'DES0804+0335',b'DEC/multiepoch/delve/r5918/DES0804+0335/p01/coadd'
b'DES0915-2249',b'DEC/multiepoch/delve/r5918/DES0915-2249/p01/coadd'
b'DES0958-1958',b'DEC/multiepoch/delve/r5918/DES0958-1958/p01/coadd'
b'DES1136+0126',b'DEC/multiepoch/delve/r5918/DES1136+0126/p01/coadd'
b'DES0913+1209',b'DEC/multiepoch/delve/r5918/DES0913+1209/p01/coadd'
b'DES1126+0252',b'DEC/multiepoch/delve/r5918/DES1126+0252/p01/coadd'
b'DES0850-0624',b'DEC/multiepoch/delve/r5918/DES0850-0624/p02/coadd'
b'DES1035+1500',b'DEC/multiepoch/delve/r5918/DES1035+1500/p01/coadd'
b'DES1039+2500',b'DEC/multiepoch/delve/r5918/DES1039+2500/p01/coadd'
b'DES0853+2251',b'DEC/multiepoch/delve/r5918/DES0853+2251/p03/coadd'
b'DES0937-1207',b'DEC/multiepoch/delve/r5918/DES0937-1207/p02/coadd'
b'DES1153+2043',b'DEC/multiepoch/delve/r5918/DES1153+2043/p01/coadd'
b'DES0936+2834',b'DEC/multiepoch/delve/r5918/DES0936+2834/p01/coadd'
b'DES0646+2625',b'DEC/multiepoch/delve/r5918/DES0646+2625/p01/coadd'
b'DES1004-2124',b'DEC/multiepoch/delve/r5918/DES1004-2124/p01/coadd'
b'DES1017+1500',b'DEC/multiepoch/delve/r5918/DES1017+1500/p01/coadd'
b'DES0947+1834',b'DEC/multiepoch/delve/r5918/DES0947+1834/p01/coadd'
b'DES1131-1124',b'DEC/multiepoch/delve/r5918/DES1131-1124/p01/coadd'
b'DES0920+2834',b'DEC/multiepoch/delve/r5918/DES0920+2834/p01/coadd'
b'DES1006+2834',b'DEC/multiepoch/delve/r5918/DES1006+2834/p01/coadd'
b'DES0925-0124',b'DEC/multiepoch/delve/r5918/DES0925-0124/p01/coadd'
b'DES0951-0750',b'DEC/multiepoch/delve/r5918/DES0951-0750/p01/coadd'
b'DES0859+0126',b'DEC/multiepoch/delve/r5918/DES0859+0126/p01/coadd'
b'DES0733+2251',b'DEC/multiepoch/delve/r5918/DES0733+2251/p01/coadd'
b'DES0754+0126',b'DEC/multiepoch/delve/r5918/DES0754+0126/p01/coadd'
b'DES1145-1415',b'DEC/multiepoch/delve/r5918/DES1145-1415/p01/coadd'
b'DES1148-1958',b'DEC/multiepoch/delve/r5918/DES1148-1958/p01/coadd'
b'DES1058+2834',b'DEC/multiepoch/delve/r5918/DES1058+2834/p01/coadd'
b'DES0932+2208',b'DEC/multiepoch/delve/r5918/DES0932+2208/p01/coadd'
